#  kappa           omega           dperp           zero eigenvalue
   5.0375070e-01   7.1450168e-01  -1.0725690e-01   1.6683985e-10
   4.9971007e-01   7.1211433e-01  -9.4305258e-02   1.9345092e-10
   4.9581064e-01   7.0960741e-01  -8.3199435e-02   1.6105384e-10
   4.9203707e-01   7.0699873e-01  -7.3624069e-02   1.6578224e-10
   4.8837653e-01   7.0430278e-01  -6.5331572e-02   1.2080576e-10
   4.8481816e-01   7.0153151e-01  -5.8124400e-02   1.2521156e-10
   4.8135265e-01   6.9869488e-01  -5.1842715e-02   1.0620488e-10
   4.7797199e-01   6.9580128e-01  -4.6355599e-02   9.2202293e-11
   4.7466916e-01   6.9285787e-01  -4.1554664e-02   1.3382681e-10
   4.7143801e-01   6.8987076e-01  -3.7349318e-02   6.6310313e-11
   4.6827311e-01   6.8684526e-01  -3.3663203e-02   9.5936856e-11
   4.6516962e-01   6.8378598e-01  -3.0431469e-02   1.1533312e-10
   4.6212320e-01   6.8069694e-01  -2.7598674e-02   9.0064767e-11
   4.5912999e-01   6.7758168e-01  -2.5117126e-02   1.0837317e-10
   4.5618645e-01   6.7444335e-01  -2.2945581e-02   1.2260598e-10
   4.5328943e-01   6.7128473e-01  -2.1048193e-02   9.7806801e-11
   4.5043602e-01   6.6810829e-01  -1.9393673e-02   1.0651870e-10
   4.4762360e-01   6.6491627e-01  -1.7954601e-02   7.2426774e-11
   4.4484974e-01   6.6171066e-01  -1.6706858e-02   9.1006280e-11
   4.4211223e-01   6.5849325e-01  -1.5629167e-02   9.2577155e-11
   4.3940904e-01   6.5526567e-01  -1.4702696e-02   8.4533698e-11
   4.3673830e-01   6.5202940e-01  -1.3910741e-02   9.7354559e-11
   4.3409826e-01   6.4878578e-01  -1.3238445e-02   6.9952765e-11
   4.3148732e-01   6.4553602e-01  -1.2672572e-02   1.0372643e-10
   4.2890401e-01   6.4228125e-01  -1.2201305e-02   9.7361639e-11
   4.2634692e-01   6.3902247e-01  -1.1814077e-02   1.0153774e-10
   4.2381479e-01   6.3576064e-01  -1.1501429e-02   6.2412235e-11
   4.2130642e-01   6.3249660e-01  -1.1254880e-02   6.5314778e-11
   4.1882068e-01   6.2923116e-01  -1.1066819e-02   8.4162104e-11
   4.1635655e-01   6.2596503e-01  -1.0930412e-02   1.0155840e-10
   4.1391304e-01   6.2269890e-01  -1.0839517e-02   8.4122612e-11
   4.1148925e-01   6.1943338e-01  -1.0788613e-02   7.1418186e-11
   4.0908433e-01   6.1616905e-01  -1.0772732e-02   9.0974854e-11
   4.0669747e-01   6.1290645e-01  -1.0787409e-02   6.7949622e-11
   4.0432795e-01   6.0964608e-01  -1.0828624e-02   8.4144376e-11
   4.0197504e-01   6.0638839e-01  -1.0892766e-02   7.0404245e-11
   3.9963810e-01   6.0313382e-01  -1.0976584e-02   1.2045499e-10
   3.9731651e-01   5.9988276e-01  -1.1077163e-02   1.0729743e-10
   3.9500969e-01   5.9663559e-01  -1.1191882e-02   1.0609191e-10
   3.9271709e-01   5.9339265e-01  -1.1318390e-02   9.4472132e-11
   3.9043821e-01   5.9015426e-01  -1.1454583e-02   8.9478768e-11
   3.8817256e-01   5.8692074e-01  -1.1598578e-02   1.0157567e-10
   3.8591968e-01   5.8369236e-01  -1.1748692e-02   6.8488419e-11
   3.8367916e-01   5.8046938e-01  -1.1903426e-02   7.4677330e-11
   3.8145059e-01   5.7725206e-01  -1.2061445e-02   6.2738120e-11
   3.7923361e-01   5.7404063e-01  -1.2221566e-02   9.9309556e-11
   3.7702784e-01   5.7083530e-01  -1.2382742e-02   1.0883244e-10
   3.7483296e-01   5.6763627e-01  -1.2544051e-02   8.6016805e-11
   3.7264867e-01   5.6444373e-01  -1.2704682e-02   1.0452693e-10
   3.7047465e-01   5.6125787e-01  -1.2863926e-02   1.0579102e-10
   3.6831065e-01   5.5807885e-01  -1.3021169e-02   9.4629085e-11
   3.6615638e-01   5.5490682e-01  -1.3175879e-02   8.2658104e-11
   3.6401162e-01   5.5174194e-01  -1.3327601e-02   9.9479482e-11
   3.6187613e-01   5.4858433e-01  -1.3475948e-02   9.6496490e-11
   3.5974970e-01   5.4543413e-01  -1.3620598e-02   1.2419268e-10
   3.5763212e-01   5.4229146e-01  -1.3761281e-02   1.0920181e-10
   3.5552320e-01   5.3915643e-01  -1.3897781e-02   1.1184035e-10
   3.5342276e-01   5.3602915e-01  -1.4029927e-02   1.1125976e-10
   3.5133064e-01   5.3290971e-01  -1.4157589e-02   1.1603825e-10
   3.4924667e-01   5.2979821e-01  -1.4280672e-02   1.2859039e-10
   3.4717072e-01   5.2669474e-01  -1.4399117e-02   1.1913798e-10
   3.4510263e-01   5.2359938e-01  -1.4512892e-02   1.3509974e-10
   3.4304229e-01   5.2051220e-01  -1.4621992e-02   1.3505697e-10
   3.4098957e-01   5.1743327e-01  -1.4726434e-02   1.3721909e-10
   3.3894435e-01   5.1436267e-01  -1.4826257e-02   1.5264044e-10
   3.3690654e-01   5.1130044e-01  -1.4921516e-02   1.6082615e-10
   3.3487602e-01   5.0824667e-01  -1.5012284e-02   1.4486545e-10
   3.3285272e-01   5.0520138e-01  -1.5098644e-02   1.5887886e-10
   3.3083653e-01   5.0216465e-01  -1.5180693e-02   1.6654475e-10
   3.2882739e-01   4.9913651e-01  -1.5258536e-02   1.5465495e-10
   3.2682520e-01   4.9611701e-01  -1.5332288e-02   1.7308480e-10
   3.2482992e-01   4.9310619e-01  -1.5402070e-02   1.8097047e-10
   3.2284146e-01   4.9010408e-01  -1.5468006e-02   1.8407731e-10
   3.2085977e-01   4.8711074e-01  -1.5530229e-02   1.9191453e-10
   3.1888479e-01   4.8412618e-01  -1.5588871e-02   1.8503953e-10
   3.1691647e-01   4.8115044e-01  -1.5644066e-02   1.8500641e-10
   3.1495475e-01   4.7818354e-01  -1.5695953e-02   1.9574009e-10
   3.1299960e-01   4.7522552e-01  -1.5744668e-02   2.0999768e-10
   3.1105097e-01   4.7227640e-01  -1.5790348e-02   2.0007420e-10
   3.0910882e-01   4.6933621e-01  -1.5833128e-02   2.0141085e-10
   3.0717312e-01   4.6640495e-01  -1.5873144e-02   2.0087637e-10
   3.0524383e-01   4.6348266e-01  -1.5910528e-02   2.2736986e-10
   3.0332092e-01   4.6056935e-01  -1.5945409e-02   2.2913745e-10
   3.0140437e-01   4.5766504e-01  -1.5977916e-02   2.3027338e-10
   2.9949414e-01   4.5476975e-01  -1.6008173e-02   2.5786899e-10
   2.9759021e-01   4.5188348e-01  -1.6036302e-02   2.5085244e-10
   2.9569256e-01   4.4900626e-01  -1.6062419e-02   2.2724229e-10
   2.9380116e-01   4.4613809e-01  -1.6086639e-02   2.5545722e-10
   2.9191601e-01   4.4327898e-01  -1.6109073e-02   2.6247956e-10
   2.9003708e-01   4.4042895e-01  -1.6129825e-02   2.8737324e-10
   2.8816435e-01   4.3758801e-01  -1.6148999e-02   2.8139992e-10
   2.8629782e-01   4.3475616e-01  -1.6166692e-02   2.8298062e-10
   2.8443746e-01   4.3193342e-01  -1.6182998e-02   2.8854057e-10
   2.8258327e-01   4.2911979e-01  -1.6198007e-02   2.9290224e-10
