#  delta           omega           kappa           dperp
   1.1000000e+00   4.3332518e-01   2.5870847e-01   5.8862405e-01
   1.1010000e+00   4.3289562e-01   2.5894913e-01   5.8022332e-01
   1.1088345e+00   4.2957707e-01   2.6103883e-01   5.0750913e-01
   1.1159057e+00   4.2665356e-01   2.6328014e-01   4.2895491e-01
   1.1227214e+00   4.2390050e-01   2.6582910e-01   3.3749075e-01
   1.1285977e+00   4.2157820e-01   2.6840224e-01   2.4163164e-01
   1.1336460e+00   4.1962116e-01   2.7095454e-01   1.4196039e-01
   1.1384074e+00   4.1780744e-01   2.7371862e-01   2.7672764e-02
   1.1430001e+00   4.1608756e-01   2.7679408e-01  -1.0883068e-01
   1.1472426e+00   4.1452450e-01   2.8008904e-01  -2.6821169e-01
   1.1512424e+00   4.1307343e-01   2.8371588e-01  -4.6271674e-01
   1.1545792e+00   4.1187949e-01   2.8725351e-01  -6.7601337e-01
   1.1581674e+00   4.1061248e-01   2.9177453e-01  -9.9139690e-01
   1.1600000e+00   4.0997204e-01   2.9447325e-01  -1.2082689e+00
   1.1616550e+00   4.0939758e-01   2.9721493e-01  -1.4558064e+00
